Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Small intestine	195/6152	0.600271075598137	0.8249535452354284	0	0	0.9813788526948726	0.5008701849404944	SERPINE2;CLEC10A;FCF1;THYN1;ZDHHC7;PALM2-AKAP2;PWP1;TXNDC17;CNST;AP1S3;SCN1B;MBNL1;ANK3;SRRM1;DDX39A;IFI27;CRISPLD2;CSNK2B;AGTR1;CFB;NLRX1;ANP32A;VPS26B;TXN;OAZ1;ATP5L;FLRT2;TSPAN8;KCNMB1;GSE1;HLA-DQA2;HLA-DQA1;JUP;GADD45B;C9ORF152;MCAM;SLC33A1;PRRC2A;EIF1;SETX;RPS25;FAM135B;TDP2;FXYD3;GIPC1;ZNF30;PLCH1;HYOU1;PPT2;CD22;FARSB;CLIC4;SERPINA1;RPLP1;TECR;WFDC1;CD3G;KRT20;SYNCRIP;IMMP2L;C14ORF1;FLVCR2;UBXN4;CLIC1;HLA-DPA1;PSENEN;BRD2;RING1;C6ORF62;KIF23;TEX15;FOS;MRPL44;AES;CKS2;HLA-DQB1;TMPRSS9;MCCD1;TIMM13;DLST;CXCR4;CST7;RHD;PPP2CB;HLA-DMA;HLA-DMB;RNASEK-C17ORF49;MICB;P2RY12;GINS2;YLPM1;EMR3;PSMB8;PSMB9;ARCN1;C12ORF23;C6ORF48;KRT19;AADAC;KIF26B;KRT14;HLA-DPB1;RIMBP2;ZNF217;NCAPD3;RAMP1;HSPA1B;HSPA1A;KCNG4;PRDM4;UPK2;TMEM147;APMAP;COTL1;KRTAP3-2;GYG1;CPA3;LMO4;TAP1;UBE4A;COX6B1;MSH5;GAPDHS;WDFY1;ZNF554;SCG2;RHCE;FTO;TMED10;KCNE4;NOTCH4;GMPS;SLC1A6;GTF2E2;BAG6;TMEM25;ARHGAP21;KRTAP4-2;SLC15A4;UBE2F;DARS;EIF2B2;RBPMS;TRAPPC4;DCDC2;C1ORF63;LSM5;QKI;LSM2;ARHGAP33;IGSF10;LSM7;CDK1;HLA-DRA;COX4I1;DMKN;LRRFIP1;BCAS1;H2AFX;LSR;KLF15;SAPCD1;SYF2;DDAH2;CTDSP2;CRY1;COL6A3;IRF8;LCP2;MCM6;DOCK2;PFDN4;EGFL8;NDUFB7;DDX24;USP10;AGPAT1;RNF5;THBS1;RAB21;DNAJB1;NCLN;GNA11;ZNF503;C3ORF33;SLC13A5;PDLIM5;MBTPS1;SEMA4D;LGI4;IRX3;ZFC3H1;JSRP1;RBM42;R3HDM1
Fiber	8/263	0.6112193779995551	0.8364479801406707	0	0	0.9452836023999505	0.46536249054015644	FTO;MAG;NPY;CHAT;FFAR2;FOS;TNF;SLC18A3
AtT-20 cell	1/29	0.6120351074200029	0.8364479801406707	0	0	1.0770002228660576	0.5287700962141657	THOP1
Cestode	1/29	0.6120351074200029	0.8364479801406707	0	0	1.0770002228660576	0.5287700962141657	LSR
Germ cell	8/264	0.6154811031978172	0.8396026879112553	0	0	0.9415417981072555	0.45697828656107875	DDX6;PIWIL1;HPGDS;PRDM9;TEKT1;MSH5;H2AFX;GAPDHS
Myoblast	3/99	0.6201172221606627	0.8441136185646341	0	0	0.9419992175273866	0.45013126536388115	MBNL1;PAX3;TNF
Hematopoietic stem cell	1/30	0.6245068234909081	0.8441136185646341	0	0	1.0398084888912797	0.4895345819818285	PSENEN
Vascular tissue	1/30	0.6245068234909081	0.8441136185646341	0	0	1.0398084888912797	0.4895345819818285	SLC15A4
Fat body	1/30	0.6245068234909081	0.8441136185646341	0	0	1.0398084888912797	0.4895345819818285	HPGDS
MG-63 cell	1/30	0.6245068234909081	0.8441136185646341	0	0	1.0398084888912797	0.4895345819818285	TNF
Globus pallidus	119/3792	0.625875023932174	0.8444163942631525	0	0	0.9716477900070745	0.4553185949191316	KCNG4;SERPINE2;PRDM4;ZDHHC7;TXNDC17;CNST;TMEM147;APMAP;COTL1;AP1S3;KRTAP3-2;SCN1B;RBFOX1;ATP6V1G2;LMO4;TAP1;UBE4A;ANK3;ACSL3;SRRM1;COX6B1;MAG;DDX39B;CSNK2B;ZNF554;SCG2;CFB;RHCE;FTO;GRIA1;NLRX1;TMED10;ANP32A;NOTCH4;HPN;GMPS;VPS26B;TXN;OAZ1;GTF2E2;ATP5L;BAG6;TMEM25;ARHGAP21;FLRT2;HLTF;KRTAP4-2;SLC15A4;UBE2F;DARS;EIF2B2;MCAM;PBX2;DCDC2;C1ORF63;PRRC2B;QKI;EIF1;RPS25;LSM7;GIPC1;ZNF30;FXYD7;HYOU1;PPT2;FARSB;RPLP1;COX4I1;TECR;DMKN;IMMP2L;BCAS1;PSENEN;BRD2;RING1;H2AFX;C6ORF62;KIF23;AES;LPHN1;SYF2;CKS2;PFDN4;EGFL8;NDUFB7;DDX24;MCCD1;COL11A2;TIMM13;AGPAT1;RNF5;RHD;DNAJB1;KIAA0513;PPP2CB;HLA-DMB;NCLN;NPY;RNASEK-C17ORF49;C3ORF33;SLIT2;OPCML;GINS2;MBTPS1;IRX3;YLPM1;ZFC3H1;ARCN1;C12ORF23;C6ORF48;JSRP1;HLA-DPB1;RIMBP2;RBM42;NCAPD3;R3HDM1;RAMP1;HSPA1B;HSPA1A
Tongue	14/463	0.6285841625650163	0.8465239269579964	0	0	0.9388378987984622	0.43588868216477594	ZRANB3;NLRX1;TSHZ2;TECR;KRT13;HPS3;BTBD11;SBSN;RPS25;MLPH;KRT17;KRT15;KIAA0753;ACSS1
BTO:0000868	1/31	0.6365782202192771	0.8494885580016979	0	0	1.005096203848154	0.453949667541901	C4A
P-19 cell	1/31	0.6365782202192771	0.8494885580016979	0	0	1.005096203848154	0.453949667541901	PAX3
Preosteoblast	1/31	0.6365782202192771	0.8494885580016979	0	0	1.005096203848154	0.453949667541901	SVEP1
Animal cap	1/31	0.6365782202192771	0.8494885580016979	0	0	1.005096203848154	0.453949667541901	FOXR1
Ring stage	1/31	0.6365782202192771	0.8494885580016979	0	0	1.005096203848154	0.453949667541901	KRT20
Cingulate cortex	152/4839	0.6376919527546621	0.8494885580016979	0	0	0.9709844424221576	0.4368458471556715	PHLDB1;KCNG4;SERPINE2;PRDM4;ZDHHC7;OGDHL;PALM2-AKAP2;TXNDC17;CNST;TMEM147;APMAP;COTL1;AP1S3;KRTAP3-2;GYG1;SCN1B;RBFOX1;TLE2;ATP6V1G2;LMO4;SECISBP2;ACOT13;UBE4A;ANK3;ACSL3;SRRM1;COX6B1;MAG;DDX39B;MSH5;CSNK2B;FKBP9;ZNF554;SCG2;CFB;RHCE;FTO;GRIA1;NLRX1;TMED10;ANP32A;NOTCH4;HPN;TSHZ2;GMPS;VPS26B;TXN;OAZ1;GTF2E2;ATP5L;BAG6;TMEM25;ARHGAP21;FLRT2;NEU1;HLTF;PLXNA1;KRTAP4-2;SLC15A4;UBE2F;DARS;EIF2B2;JUP;GADD45B;MCAM;TRAPPC4;PBX2;DCDC2;C1ORF63;PRRC2B;QKI;EIF1;ARHGAP33;RPS25;LSM7;FXYD3;GIPC1;ZNF30;FXYD7;HYOU1;PPT2;HAMP;C2CD2L;FARSB;CLIC4;DOCK4;HSPB6;RPLP1;COX4I1;TECR;DMKN;IMMP2L;C14ORF1;LRRFIP1;UBXN4;BCAS1;PSENEN;BRD2;RING1;H2AFX;C6ORF62;KIF23;HAUS5;AES;ALDH5A1;LPHN1;SAPCD1;SYF2;CTDSP2;CKS2;IFT46;PFDN4;EGFL8;NDUFB7;DDX24;MCCD1;COL11A2;TIMM13;AGPAT1;RNF5;RHD;RXRB;DNAJB1;KIAA0513;PPP2CB;HLA-DMB;NCLN;GNA11;ZNF503;RNASEK-C17ORF49;C3ORF33;SLIT2;OPCML;GINS2;MBTPS1;SEMA4D;IRX3;YLPM1;ZFC3H1;ARCN1;C12ORF23;C6ORF48;JSRP1;KBTBD2;RIMBP2;RBM42;NCAPD3;R3HDM1;RAMP1;HSPA1B;HSPA1A;PTPN3
Myotube	3/103	0.6467748570517815	0.8573789428667741	0	0	0.904131455399061	0.3939816330938148	COX4I1;PAX3;TNF
Lung cancer cell	3/103	0.6467748570517815	0.8573789428667741	0	0	0.904131455399061	0.3939816330938148	GADD45B;JUP;FXYD3
Hair follicle	1/32	0.6482621275334146	0.8573789428667741	0	0	0.9726234210658748	0.42159349070772806	TECR
High endothelial venule	1/32	0.6482621275334146	0.8573789428667741	0	0	0.9726234210658748	0.42159349070772806	CXCR5
Atherosclerotic plaque	2/69	0.6543354974866632	0.8630556245191668	0	0	0.8997667910447761	0.3816226472702309	AGTR1;TNF
Thalamus	152/4856	0.6566147672141824	0.8630556245191668	0	0	0.9663542968207691	0.40650445680905634	PHLDB1;KCNG4;SERPINE2;PRDM4;ZDHHC7;OGDHL;PALM2-AKAP2;TXNDC17;CNST;TMEM147;APMAP;NIPAL3;COTL1;AP1S3;KRTAP3-2;GYG1;SCN1B;RBFOX1;MBNL1;ATP6V1G2;SECISBP2;TAP1;UBE4A;ANK3;ACSL3;SRRM1;COX6B1;MAG;DDX39A;DDX39B;IFI27;MSH5;CSNK2B;FKBP9;ZNF554;SCG2;CFB;RHCE;FTO;NLRX1;TMED10;ANP32A;NOTCH4;HPN;GMPS;VPS26B;TXN;OAZ1;GTF2E2;ATP5L;BAG6;TMEM25;ARHGAP21;HLTF;KRTAP4-2;SLC15A4;UBE2F;NEK9;DARS;EIF2B2;GADD45B;MCAM;TRAPPC4;PBX2;DCDC2;C1ORF63;PRRC2B;QKI;EIF1;ARHGAP33;RPS25;LSM7;TDP2;FXYD3;GIPC1;ZNF30;FXYD1;FXYD7;HLA-DRA;HYOU1;PPT2;HAMP;CD22;C2CD2L;FARSB;SERPINA3;CLIC4;DOCK4;RPLP1;COX4I1;TECR;DMKN;GLT1D1;IMMP2L;C14ORF1;LRRFIP1;UBXN4;BCAS1;PSENEN;BRD2;RING1;H2AFX;C6ORF62;KIF23;AES;LPHN1;SAPCD1;SYF2;CTDSP2;CKS2;IFT46;PFDN4;EGFL8;NDUFB7;DDX24;MCCD1;COL11A2;TIMM13;AGPAT1;RNF5;RHD;RXRB;DNAJB1;KIAA0513;PPP2CB;HLA-DMB;NCLN;GNA11;ZNF503;RNASEK-C17ORF49;C3ORF33;OPCML;GINS2;MBTPS1;SEMA4D;IRX3;YLPM1;ZFC3H1;ARCN1;C12ORF23;C6ORF48;JSRP1;KBTBD2;HLA-DPB1;RIMBP2;RBM42;NCAPD3;R3HDM1;RAMP1;HSPA1B;HSPA1A;PTPN3
Semicircular canal	1/33	0.6595709650796885	0.8630556245191668	0	0	0.9421801872074883	0.39210308490571216	FOXI1
Distal tip	1/33	0.6595709650796885	0.8630556245191668	0	0	0.9421801872074883	0.39210308490571216	IFT46
Epiphyseal growth plate	1/33	0.6595709650796885	0.8630556245191668	0	0	0.9421801872074883	0.39210308490571216	SOX6
Filopodium	1/33	0.6595709650796885	0.8630556245191668	0	0	0.9421801872074883	0.39210308490571216	LY6G6E
Alveolar bone	2/70	0.662079945486855	0.8635974958028702	0	0	0.8864889705882353	0.3655605408466285	KRT14;TNF
Cranium	4/141	0.6671493096048899	0.8635974958028702	0	0	0.8796192481065374	0.3560183309036906	NPY;PAX3;FOS;TNF
