Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Teratocarcinoma cell	18/592	0.1275095805920543	0.695001223340954	0	0	1.3677520124954945	2.8169724985406117	IPPK;ARHGAP8;MYEF2;ATMIN;PLGRKT;FAM46A;PPAPDC3;MYRIP;DEDD2;AIF1L;LRTOMT;PRR5-ARHGAP8;KIAA1432;SNAPC3;TRIM68;C21ORF2;RNF121;ZNF574
NRK cell	1/6	0.12844795376535958	0.695001223340954	0	0	8.646902654867256	17.745445882591248	AKNAD1
Iris	1/6	0.12844795376535958	0.695001223340954	0	0	8.646902654867256	17.745445882591248	PDGFD
2t	1/6	0.12844795376535958	0.695001223340954	0	0	8.646902654867256	17.745445882591248	GNG8
A-498 cell	1/6	0.12844795376535958	0.695001223340954	0	0	8.646902654867256	17.745445882591248	TRABD2B
Byssus	1/6	0.12844795376535958	0.695001223340954	0	0	8.646902654867256	17.745445882591248	ERF
Cecal epithelium	1/6	0.12844795376535958	0.695001223340954	0	0	8.646902654867256	17.745445882591248	DMWD
Cecum	1/6	0.12844795376535958	0.695001223340954	0	0	8.646902654867256	17.745445882591248	RRBP1
Tympanum	1/6	0.12844795376535958	0.695001223340954	0	0	8.646902654867256	17.745445882591248	RIBC2
Uterine serous carcinoma cell	1/6	0.12844795376535958	0.695001223340954	0	0	8.646902654867256	17.745445882591248	TRAF3IP2
Flexor digitorum longus	1/6	0.12844795376535958	0.695001223340954	0	0	8.646902654867256	17.745445882591248	COL5A1
e21	1/6	0.12844795376535958	0.695001223340954	0	0	8.646902654867256	17.745445882591248	ERF
em3	1/6	0.12844795376535958	0.695001223340954	0	0	8.646902654867256	17.745445882591248	ERF
Genital mucosa	1/6	0.12844795376535958	0.695001223340954	0	0	8.646902654867256	17.745445882591248	CD79A
HELF cell	1/6	0.12844795376535958	0.695001223340954	0	0	8.646902654867256	17.745445882591248	SPRY1
tn368	1/6	0.12844795376535958	0.695001223340954	0	0	8.646902654867256	17.745445882591248	DMPK
tn5b14	1/6	0.12844795376535958	0.695001223340954	0	0	8.646902654867256	17.745445882591248	NADSYN1
Kna	1/6	0.12844795376535958	0.695001223340954	0	0	8.646902654867256	17.745445882591248	BICD1
Lung bud	1/6	0.12844795376535958	0.695001223340954	0	0	8.646902654867256	17.745445882591248	ATMIN
